|Reward: 0| Episode: 0
|Reward: 14| Episode: 10
|Reward: 14| Episode: 20
|Reward: 12| Episode: 30
|Reward: 12| Episode: 40
|Reward: 11| Episode: 50
|Reward: 11| Episode: 60
|Reward: 12| Episode: 70
|Reward: 13| Episode: 80
|Reward: 14| Episode: 90
|Reward: 13| Episode: 100
|Reward: 11| Episode: 110
|Reward: 14| Episode: 120
|Reward: 14| Episode: 130
|Reward: 16| Episode: 140
|Reward: 17| Episode: 150
|Reward: 17| Episode: 160
|Reward: 17| Episode: 170
|Reward: 14| Episode: 180
|Reward: 14| Episode: 190
|Reward: 13| Episode: 200
|Reward: 16| Episode: 210
|Reward: 20| Episode: 220
|Reward: 21| Episode: 230
|Reward: 20| Episode: 240
|Reward: 20| Episode: 250
|Reward: 33| Episode: 260
|Reward: 26| Episode: 270
|Reward: 33| Episode: 280
|Reward: 33| Episode: 290
|Reward: 41| Episode: 300
|Reward: 38| Episode: 310
|Reward: 53| Episode: 320
|Reward: 55| Episode: 330
|Reward: 64| Episode: 340
|Reward: 54| Episode: 350
|Reward: 78| Episode: 360
|Reward: 71| Episode: 370
|Reward: 84| Episode: 380
|Reward: 80| Episode: 390
|Reward: 82| Episode: 400
|Reward: 73| Episode: 410
|Reward: 78| Episode: 420
|Reward: 86| Episode: 430
|Reward: 82| Episode: 440
|Reward: 77| Episode: 450
|Reward: 90| Episode: 460
|Reward: 90| Episode: 470
|Reward: 85| Episode: 480
|Reward: 89| Episode: 490
|Reward: 89| Episode: 500
|Reward: 101| Episode: 510
|Reward: 95| Episode: 520
|Reward: 98| Episode: 530
|Reward: 89| Episode: 540
|Reward: 93| Episode: 550
|Reward: 108| Episode: 560
|Reward: 110| Episode: 570
|Reward: 95| Episode: 580
|Reward: 91| Episode: 590
|Reward: 86| Episode: 600
|Reward: 96| Episode: 610
|Reward: 89| Episode: 620
|Reward: 114| Episode: 630
|Reward: 89| Episode: 640
|Reward: 83| Episode: 650
|Reward: 114| Episode: 660
|Reward: 124| Episode: 670
|Reward: 139| Episode: 680
|Reward: 125| Episode: 690
|Reward: 141| Episode: 700
|Reward: 147| Episode: 710
|Reward: 169| Episode: 720
|Reward: 143| Episode: 730
|Reward: 147| Episode: 740
|Reward: 136| Episode: 750
|Reward: 139| Episode: 760
|Reward: 169| Episode: 770
|Reward: 164| Episode: 780
|Reward: 146| Episode: 790
|Reward: 170| Episode: 800
|Reward: 171| Episode: 810
|Reward: 184| Episode: 820
|Reward: 190| Episode: 830
|Reward: 185| Episode: 840
|Reward: 197| Episode: 850
|Reward: 195| Episode: 860
|Reward: 196| Episode: 870
|Reward: 198| Episode: 880
|Reward: 191| Episode: 890
|Reward: 193| Episode: 900
|Reward: 200| Episode: 910
|Reward: 200| Episode: 920
|Reward: 191| Episode: 930
|Reward: 200| Episode: 940
|Reward: 199| Episode: 950
|Reward: 200| Episode: 960
|Reward: 199| Episode: 970
|Reward: 187| Episode: 980
|Reward: 199| Episode: 990
|Reward: 190| Episode: 1000
|Reward: 198| Episode: 1010
|Reward: 198| Episode: 1020
|Reward: 192| Episode: 1030
|Reward: 200| Episode: 1040
|Reward: 200| Episode: 1050
|Reward: 195| Episode: 1060
|Reward: 200| Episode: 1070
|Reward: 200| Episode: 1080
|Reward: 200| Episode: 1090
|Reward: 194| Episode: 1100
|Reward: 200| Episode: 1110
|Reward: 200| Episode: 1120
|Reward: 193| Episode: 1130
|Reward: 196| Episode: 1140
|Reward: 190| Episode: 1150
|Reward: 192| Episode: 1160
|Reward: 178| Episode: 1170
|Reward: 168| Episode: 1180
|Reward: 172| Episode: 1190
|Reward: 164| Episode: 1200
|Reward: 181| Episode: 1210
|Reward: 173| Episode: 1220
|Reward: 165| Episode: 1230
|Reward: 137| Episode: 1240
|Reward: 189| Episode: 1250
|Reward: 183| Episode: 1260
|Reward: 188| Episode: 1270
|Reward: 195| Episode: 1280
|Reward: 185| Episode: 1290
|Reward: 178| Episode: 1300
|Reward: 196| Episode: 1310
|Reward: 188| Episode: 1320
|Reward: 200| Episode: 1330
|Reward: 197| Episode: 1340
|Reward: 200| Episode: 1350
|Reward: 197| Episode: 1360
|Reward: 194| Episode: 1370
|Reward: 200| Episode: 1380
|Reward: 200| Episode: 1390
|Reward: 200| Episode: 1400
|Reward: 198| Episode: 1410
|Reward: 187| Episode: 1420
|Reward: 200| Episode: 1430
|Reward: 200| Episode: 1440
|Reward: 200| Episode: 1450
|Reward: 200| Episode: 1460
|Reward: 200| Episode: 1470
|Reward: 200| Episode: 1480
|Reward: 197| Episode: 1490
|Reward: 198| Episode: 1500
|Reward: 200| Episode: 1510
|Reward: 195| Episode: 1520
|Reward: 200| Episode: 1530
|Reward: 200| Episode: 1540
|Reward: 198| Episode: 1550
|Reward: 200| Episode: 1560
|Reward: 195| Episode: 1570
|Reward: 199| Episode: 1580
|Reward: 200| Episode: 1590
|Reward: 200| Episode: 1600
|Reward: 198| Episode: 1610
|Reward: 197| Episode: 1620
|Reward: 194| Episode: 1630
|Reward: 200| Episode: 1640
|Reward: 194| Episode: 1650
|Reward: 200| Episode: 1660
|Reward: 199| Episode: 1670
|Reward: 200| Episode: 1680
|Reward: 200| Episode: 1690
|Reward: 200| Episode: 1700
|Reward: 193| Episode: 1710
|Reward: 198| Episode: 1720
|Reward: 200| Episode: 1730
|Reward: 200| Episode: 1740
|Reward: 200| Episode: 1750
|Reward: 200| Episode: 1760
|Reward: 200| Episode: 1770
|Reward: 183| Episode: 1780
|Reward: 200| Episode: 1790
|Reward: 200| Episode: 1800
