|Reward: 0| Episode: 0
|Reward: -200| Episode: 10
|Reward: -200| Episode: 20
|Reward: -200| Episode: 30
|Reward: -200| Episode: 40
|Reward: -200| Episode: 50
|Reward: -200| Episode: 60
|Reward: -200| Episode: 70
|Reward: -200| Episode: 80
|Reward: -200| Episode: 90
|Reward: -200| Episode: 100
|Reward: -200| Episode: 110
|Reward: -200| Episode: 120
|Reward: -200| Episode: 130
|Reward: -200| Episode: 140
|Reward: -200| Episode: 150
|Reward: -200| Episode: 160
|Reward: -200| Episode: 170
|Reward: -200| Episode: 180
|Reward: -200| Episode: 190
|Reward: -200| Episode: 200
|Reward: -200| Episode: 210
|Reward: -200| Episode: 220
|Reward: -200| Episode: 230
|Reward: -200| Episode: 240
|Reward: -200| Episode: 250
|Reward: -200| Episode: 260
|Reward: -200| Episode: 270
|Reward: -200| Episode: 280
|Reward: -200| Episode: 290
|Reward: -200| Episode: 300
|Reward: -195| Episode: 310
|Reward: -198| Episode: 320
|Reward: -192| Episode: 330
|Reward: -197| Episode: 340
|Reward: -193| Episode: 350
|Reward: -180| Episode: 360
|Reward: -179| Episode: 370
|Reward: -170| Episode: 380
|Reward: -178| Episode: 390
|Reward: -176| Episode: 400
|Reward: -177| Episode: 410
|Reward: -172| Episode: 420
|Reward: -192| Episode: 430
|Reward: -164| Episode: 440
|Reward: -152| Episode: 450
|Reward: -152| Episode: 460
|Reward: -152| Episode: 470
|Reward: -148| Episode: 480
|Reward: -135| Episode: 490
|Reward: -122| Episode: 500
|Reward: -137| Episode: 510
|Reward: -129| Episode: 520
|Reward: -116| Episode: 530
|Reward: -159| Episode: 540
|Reward: -133| Episode: 550
|Reward: -131| Episode: 560
|Reward: -140| Episode: 570
|Reward: -120| Episode: 580
|Reward: -128| Episode: 590
|Reward: -111| Episode: 600
|Reward: -121| Episode: 610
|Reward: -123| Episode: 620
|Reward: -147| Episode: 630
|Reward: -154| Episode: 640
|Reward: -160| Episode: 650
|Reward: -149| Episode: 660
|Reward: -153| Episode: 670
|Reward: -139| Episode: 680
|Reward: -142| Episode: 690
|Reward: -130| Episode: 700
|Reward: -159| Episode: 710
|Reward: -138| Episode: 720
|Reward: -150| Episode: 730
|Reward: -138| Episode: 740
|Reward: -138| Episode: 750
|Reward: -138| Episode: 760
|Reward: -121| Episode: 770
|Reward: -122| Episode: 780
|Reward: -119| Episode: 790
|Reward: -114| Episode: 800
|Reward: -109| Episode: 810
|Reward: -117| Episode: 820
|Reward: -140| Episode: 830
|Reward: -177| Episode: 840
|Reward: -156| Episode: 850
|Reward: -141| Episode: 860
|Reward: -116| Episode: 870
|Reward: -139| Episode: 880
|Reward: -126| Episode: 890
|Reward: -131| Episode: 900
|Reward: -127| Episode: 910
|Reward: -116| Episode: 920
|Reward: -123| Episode: 930
|Reward: -117| Episode: 940
|Reward: -115| Episode: 950
|Reward: -127| Episode: 960
|Reward: -136| Episode: 970
|Reward: -127| Episode: 980
|Reward: -153| Episode: 990
|Reward: -154| Episode: 1000
|Reward: -142| Episode: 1010
|Reward: -144| Episode: 1020
|Reward: -164| Episode: 1030
|Reward: -146| Episode: 1040
|Reward: -169| Episode: 1050
|Reward: -167| Episode: 1060
|Reward: -152| Episode: 1070
|Reward: -144| Episode: 1080
|Reward: -164| Episode: 1090
|Reward: -174| Episode: 1100
|Reward: -159| Episode: 1110
|Reward: -146| Episode: 1120
|Reward: -139| Episode: 1130
|Reward: -149| Episode: 1140
|Reward: -140| Episode: 1150
|Reward: -138| Episode: 1160
|Reward: -146| Episode: 1170
|Reward: -166| Episode: 1180
|Reward: -190| Episode: 1190
|Reward: -194| Episode: 1200
|Reward: -157| Episode: 1210
|Reward: -158| Episode: 1220
|Reward: -129| Episode: 1230
|Reward: -189| Episode: 1240
|Reward: -164| Episode: 1250
|Reward: -176| Episode: 1260
|Reward: -156| Episode: 1270
|Reward: -136| Episode: 1280
|Reward: -130| Episode: 1290
|Reward: -165| Episode: 1300
|Reward: -196| Episode: 1310
|Reward: -167| Episode: 1320
|Reward: -138| Episode: 1330
|Reward: -150| Episode: 1340
|Reward: -162| Episode: 1350
|Reward: -165| Episode: 1360
|Reward: -185| Episode: 1370
|Reward: -168| Episode: 1380
|Reward: -185| Episode: 1390
|Reward: -190| Episode: 1400
|Reward: -200| Episode: 1410
|Reward: -191| Episode: 1420
|Reward: -165| Episode: 1430
|Reward: -176| Episode: 1440
|Reward: -164| Episode: 1450
|Reward: -186| Episode: 1460
|Reward: -163| Episode: 1470
|Reward: -158| Episode: 1480
|Reward: -162| Episode: 1490
|Reward: -179| Episode: 1500
|Reward: -158| Episode: 1510
|Reward: -182| Episode: 1520
|Reward: -166| Episode: 1530
|Reward: -177| Episode: 1540
|Reward: -158| Episode: 1550
|Reward: -150| Episode: 1560
|Reward: -165| Episode: 1570
|Reward: -162| Episode: 1580
|Reward: -169| Episode: 1590
|Reward: -185| Episode: 1600
|Reward: -169| Episode: 1610
|Reward: -187| Episode: 1620
|Reward: -165| Episode: 1630
|Reward: -163| Episode: 1640
|Reward: -169| Episode: 1650
|Reward: -171| Episode: 1660
|Reward: -162| Episode: 1670
|Reward: -166| Episode: 1680
|Reward: -172| Episode: 1690
|Reward: -159| Episode: 1700
|Reward: -156| Episode: 1710
|Reward: -142| Episode: 1720
|Reward: -166| Episode: 1730
|Reward: -167| Episode: 1740
|Reward: -163| Episode: 1750
|Reward: -151| Episode: 1760
|Reward: -121| Episode: 1770
|Reward: -133| Episode: 1780
|Reward: -131| Episode: 1790
|Reward: -182| Episode: 1800
|Reward: -147| Episode: 1810
|Reward: -141| Episode: 1820
|Reward: -157| Episode: 1830
|Reward: -162| Episode: 1840
|Reward: -132| Episode: 1850
|Reward: -141| Episode: 1860
|Reward: -154| Episode: 1870
|Reward: -177| Episode: 1880
|Reward: -194| Episode: 1890
|Reward: -178| Episode: 1900
|Reward: -157| Episode: 1910
|Reward: -152| Episode: 1920
|Reward: -171| Episode: 1930
|Reward: -171| Episode: 1940
|Reward: -164| Episode: 1950
|Reward: -176| Episode: 1960
|Reward: -171| Episode: 1970
|Reward: -164| Episode: 1980
|Reward: -189| Episode: 1990
|Reward: -186| Episode: 2000
|Reward: -177| Episode: 2010
|Reward: -187| Episode: 2020
|Reward: -200| Episode: 2030
|Reward: -199| Episode: 2040
|Reward: -200| Episode: 2050
|Reward: -200| Episode: 2060
|Reward: -200| Episode: 2070
|Reward: -200| Episode: 2080
|Reward: -200| Episode: 2090
|Reward: -199| Episode: 2100
|Reward: -194| Episode: 2110
|Reward: -198| Episode: 2120
|Reward: -200| Episode: 2130
|Reward: -200| Episode: 2140
|Reward: -195| Episode: 2150
|Reward: -200| Episode: 2160
|Reward: -200| Episode: 2170
|Reward: -188| Episode: 2180
|Reward: -200| Episode: 2190
|Reward: -195| Episode: 2200
|Reward: -200| Episode: 2210
|Reward: -200| Episode: 2220
|Reward: -200| Episode: 2230
|Reward: -193| Episode: 2240
